,Local_time,neighborhood,total_cars,weekday,hour,latitude,longitude
152026,2019-10-30 12:00:00+02:00,Yad Eliyahu,68,2,12,32.0609,34.7944
194306,2019-11-21 08:30:00+02:00,The inheritance of Isaac,13,3,8,32.0755,34.8014
29735,2018-07-17 05:00:00+03:00,Sde Dov area,4,1,5,32.11113,34.88735
360610,2020-02-11 02:30:00+02:00,Givat Herzl,10,1,2,32.0474,34.76887
98257,2019-10-04 20:30:00+03:00,Yad Eliyahu,41,4,20,32.06271,34.79478
52457,2018-11-26 21:30:00+02:00,Neve Barbur,18,0,21,32.053670000000004,34.80315
64485,2018-12-03 14:30:00+02:00,Port of Tel Aviv,4,0,14,32.0966,34.7738
141692,2019-10-26 07:30:00+03:00,Tzahala,4,5,7,32.1245,34.83352
150683,2019-10-30 02:30:00+02:00,Atidim,43,2,2,32.111506,34.840876
318539,2020-01-22 00:00:00+02:00,The Yemenite Vineyard,13,2,0,32.069777,34.766401
95428,2019-10-03 23:30:00+03:00,Shapira,37,3,23,32.05313,34.77677
76305,2019-09-18 02:00:00+03:00,Bitzaron and Ramat Israel,69,2,2,32.068052,34.802363
278130,2020-01-02 11:00:00+02:00,Neot Afeka b,38,3,11,32.119821,34.821159
290827,2020-01-09 09:30:00+02:00,Tel Baruch North,31,3,9,32.123000000000005,34.81792
320290,2020-01-22 13:30:00+02:00,Afeka,20,2,13,32.1243,34.8028
82901,2019-09-21 02:30:00+03:00,Tel aviv university,77,5,2,32.111999999999995,34.8016
3834,2018-07-06 09:30:00+03:00,Bitzaron and Ramat Israel,20,4,9,32.068052,34.802363
266504,2019-12-25 20:00:00+02:00,The new north - the state square,49,2,20,32.08829,34.794266
188727,2019-11-18 15:30:00+02:00,North Star,17,0,15,32.1007,34.78782
209819,2019-11-29 04:30:00+02:00,Kfir,9,4,4,32.04779,34.80256
97739,2019-10-04 17:00:00+03:00,Jaffa College Tel Aviv and Dakar,10,4,17,32.046576,34.759767
70241,2019-09-16 04:00:00+03:00,Level of pilots,37,0,4,32.06159,34.805640000000004
11003,2018-07-09 23:00:00+03:00,Tel aviv university,27,0,23,32.101,34.79719
189553,2019-11-18 22:00:00+02:00,Fairgrounds,8,0,22,32.1034,34.8059
63667,2018-12-03 08:30:00+02:00,Florentine,62,0,8,32.05533,34.76773
202150,2019-11-23 18:30:00+02:00,Neve Chen,47,5,18,32.05053,34.81073
227663,2019-12-04 17:30:00+02:00,Neve Ofer,41,2,17,32.045083,34.76748
314862,2020-01-20 20:30:00+02:00,The new north - the state square,28,0,20,32.083417,34.79182
240274,2019-12-09 16:00:00+02:00,Shapira,56,0,16,32.048790000000004,34.77687
84281,2019-09-21 13:00:00+03:00,Employment area - Holon Junction,6,5,13,32.03866,34.77632
176160,2019-11-12 19:00:00+02:00,Tel-Haim,8,1,19,32.06231,34.804109999999994
355343,2020-02-08 11:00:00+02:00,Shapira,10,5,11,32.052890000000005,34.779709999999994
265167,2019-12-25 10:00:00+02:00,Tel Aviv Cardo,190,2,10,32.0613,34.77573
90445,2019-09-25 10:30:00+03:00,Tzahalon and savings settlements,8,2,10,32.04772,34.75313
196136,2019-11-21 22:00:00+02:00,Revivim,21,3,22,32.11693,34.82897
51227,2018-11-26 12:30:00+02:00,Hadar-Yosef,85,0,12,32.10647,34.81987
147240,2019-10-29 00:30:00+02:00,Babylonian,2,1,0,32.09557,34.7951
130933,2019-10-21 22:30:00+03:00,Yad Eliyahu,65,0,22,32.05428,34.79927
107431,2019-10-10 16:30:00+03:00,North Jaffa,40,3,16,32.050298,34.757023
131728,2019-10-22 04:30:00+03:00,Yad Eliyahu,41,1,4,32.06279,34.78941
253923,2019-12-18 22:00:00+02:00,Spring Cliffs,61,2,22,32.12891,34.79313
318476,2020-01-21 23:30:00+02:00,Tzahala Gardens,26,1,23,32.12508,34.83132
308618,2020-01-15 22:00:00+02:00,Sde Dov area,30,2,22,32.12835,34.82815
349168,2020-02-04 13:30:00+02:00,Tel aviv university,39,1,13,32.111344,34.801714000000004
325631,2020-01-27 05:30:00+02:00,Glilot,66,0,5,32.14221,34.79903
244323,2019-12-10 22:30:00+02:00,Neve Sha'anan,23,1,22,32.05869000000001,34.77715
308718,2020-01-15 23:00:00+02:00,Glilot,67,2,23,32.143248,34.79234
5418,2018-07-06 22:00:00+03:00,Jaffa Genoa Golan,16,4,22,32.03363,34.74537
7224,2018-07-07 18:00:00+03:00,Nir Aviv,4,5,18,32.04649000000001,34.81289
291380,2020-01-09 14:00:00+02:00,Jaffa Genoa Golan,38,3,14,32.03118,34.7494
285934,2020-01-04 21:00:00+02:00,Yedidya,3,5,21,32.04594,34.800059999999995
295273,2020-01-10 19:00:00+02:00,Port of Tel Aviv,11,4,19,32.0966,34.7738
5304,2018-07-06 21:00:00+03:00,Montefiore,78,4,21,32.07053,34.79145
302088,2020-01-12 22:00:00+02:00,Yarkon Park,44,6,22,32.106567,34.832598
109502,2019-10-12 08:00:00+03:00,Hadar-Yosef,21,5,8,32.11254,34.81949
246952,2019-12-13 18:30:00+02:00,Jaffa College Tel Aviv and Dakar,44,4,18,32.04352,34.75842
24331,2018-07-14 10:30:00+03:00,Ramat Hahayal,18,5,10,32.11405,34.83551
29793,2018-07-17 05:30:00+03:00,Old North - Southern part,56,1,5,32.07611,34.77319
208093,2019-11-26 15:00:00+02:00,Tzahalon and savings settlements,50,1,15,32.04146,34.752309999999994
17804,2018-07-12 07:30:00+03:00,Neot Afeka b,27,3,7,32.119821,34.821159
205619,2019-11-25 20:30:00+02:00,Yedidya,6,0,20,32.046209999999995,34.80011
352227,2020-02-05 12:00:00+02:00,Neve Barbur,20,2,12,32.052409999999995,34.80141
88017,2019-09-23 16:30:00+03:00,The New North - the northern part,49,0,16,32.096128,34.790745
152918,2019-10-30 19:00:00+02:00,Jaffa Genoa Golan,53,2,19,32.034420000000004,34.75049
177192,2019-11-13 03:00:00+02:00,Bitzaron and Ramat Israel,19,2,3,32.066520000000004,34.8
81644,2019-09-20 17:30:00+03:00,Ramat Hahayal,26,4,17,32.10948,34.83058
126605,2019-10-17 15:30:00+03:00,Florentine,44,3,15,32.056237,34.769956
25568,2018-07-14 20:30:00+03:00,Level of pilots,11,5,20,32.05888,34.80785
73838,2019-09-17 06:30:00+03:00,The inheritance of Isaac,24,1,6,32.07527,34.79847
374635,2020-02-17 11:30:00+02:00,Neve Ofer,33,0,11,32.0369,34.7625
170902,2019-11-09 04:30:00+02:00,Bitzaron and Ramat Israel,27,5,4,32.066956,34.793493
369863,2020-02-14 00:00:00+02:00,Tel aviv university,70,4,0,32.11497,34.80731
43156,2018-10-13 01:30:00+03:00,Kfir,1,5,1,32.04731,34.8057
94895,2019-10-03 19:30:00+03:00,Yad Eliyahu,72,3,19,32.05894,34.78927
131906,2019-10-22 06:00:00+03:00,Revivim,27,1,6,32.1172,34.83125
245840,2019-12-13 10:00:00+02:00,Old North - Northern part,130,4,10,32.093463,34.778592
22201,2018-07-13 17:30:00+03:00,Level of pilots,17,4,17,32.05885,34.807629999999996
262869,2019-12-22 16:30:00+02:00,The New North - the northern part,38,6,16,32.093871,34.785879
300523,2020-01-12 10:30:00+02:00,Tel Baruch North,7,6,10,32.12298,34.8117
143244,2019-10-26 19:30:00+03:00,Jaffa D,3,5,19,32.035393,34.75873
229396,2019-12-05 07:00:00+02:00,Ajami and Givat Aliya,57,3,7,32.04775,34.75179
276892,2019-12-30 01:30:00+02:00,Neve Sharett,29,0,1,32.11705,34.83995
207670,2019-11-26 12:00:00+02:00,Ramat Hahayal,23,1,12,32.11527,34.83435
296374,2020-01-11 03:30:00+02:00,Afeka,1,5,3,32.1243,34.8028
343496,2020-02-02 19:30:00+02:00,North Jaffa,128,6,19,32.052487,34.756501
18298,2018-07-12 11:00:00+03:00,Tel Baruch North,19,3,11,32.12318,34.820159999999994
242295,2019-12-10 07:00:00+02:00,The inheritance of Isaac,20,1,7,32.077290000000005,34.79673
85721,2019-09-21 23:30:00+03:00,Jaffa College Tel Aviv and Dakar,21,5,23,32.04269,34.75821
145418,2019-10-28 10:30:00+02:00,The Woods Park,14,0,10,32.04401,34.76983
247924,2019-12-14 02:00:00+02:00,Hadar-Yosef,89,5,2,32.10883,34.825520000000004
120009,2019-10-15 14:30:00+03:00,Florentine,101,1,14,32.057609,34.7643
116738,2019-10-14 13:30:00+03:00,The Yemenite Vineyard,13,0,13,32.071020000000004,34.76705
349375,2020-02-04 15:00:00+02:00,The new north - the southern part,111,1,15,32.079221000000004,34.788357
280104,2020-01-03 02:00:00+02:00,Neot Afeka b,48,4,2,32.12112,34.82417
15357,2018-07-11 12:00:00+03:00,Yarkon Park,7,2,12,32.10265,34.82321
132965,2019-10-22 14:00:00+03:00,Florentine,28,1,14,32.05785,34.76838
207881,2019-11-26 13:30:00+02:00,Shapira,47,1,13,32.053090000000005,34.78117
58665,2018-11-29 19:30:00+02:00,Glilot,53,3,19,32.14304,34.7937
240539,2019-12-09 18:00:00+02:00,Tel Aviv Cardo,128,0,18,32.068993,34.782176
57477,2018-11-29 10:30:00+02:00,The Yemenite Vineyard,2,3,10,32.069777,34.766401
78340,2019-09-18 17:00:00+03:00,Revivim,52,2,17,32.11622,34.828540000000004
235956,2019-12-07 08:00:00+02:00,Afeka,19,5,8,32.1233,34.80594
329351,2020-01-28 09:30:00+02:00,Jaffa College Tel Aviv and Dakar,37,1,9,32.0452,34.75886
325419,2020-01-27 03:30:00+02:00,Yad Eliyahu,32,0,3,32.05721,34.79455
381820,2020-02-19 18:00:00+02:00,Plan for,65,2,18,32.11031,34.78606
23117,2018-07-14 00:30:00+03:00,Tel aviv university,8,5,0,32.1066,34.8043
338530,2020-02-01 06:00:00+02:00,Sarona Gardens,5,5,6,32.072537,34.784071000000004
144114,2019-10-27 01:00:00+02:00,Neve Sharett,37,6,1,32.11768,34.83991
208688,2019-11-26 20:00:00+02:00,Hope,39,1,20,32.04903,34.79452
56835,2018-11-29 06:00:00+02:00,Neve Avivim and its surroundings,113,3,6,32.11919,34.80175
201715,2019-11-23 15:00:00+02:00,The Yemenite Vineyard,12,5,15,32.069777,34.766401
269550,2019-12-26 19:00:00+02:00,Glilot,81,3,19,32.142509999999994,34.79173
213873,2019-11-30 10:30:00+02:00,The Woods Park,6,5,10,32.04433,34.770140000000005
